,tweet_id,user_id,description,location,following,followers,totaltweets,retweetcount,hashtags,text,score,compound,sentiment
31,39,138,"she, her, hers
photographer
Jewelry Designer
All-around creative soul
real name is Sarah","Bronx, NY",5747,5732,23503,0,[],  Layoffs supposedly happen for reorganization however reorganization happens before the actual layoffs When you witness folks moving from one group to another that is your queue that reorganization is going on before a public announcement,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
32,40,139,lol,,10,13,1246,0,[], How common will this be Does layoffs and AI scare off future home buyers over job security Does this crush home values now,"{'neg': 0.166, 'neu': 0.657, 'pos': 0.176, 'compound': 0.0772}",0.0772,POSITIVE
33,43,142,"An independent thinker, LOVE FOR COUNTRY over politics.",,248,86,3018,11,[],Hundreds of thousands of layoffs in recent months and  demands importation of more foreign skilled workers This isnt about what America needs its about abusing the refugee system to circumvent ceilings on employment visas ,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.4588}",-0.4588,NEGATIVE
34,46,145,"Reporting on stock news, earnings and more. Not Just stock news! Not Investment advice / DM for business / Check out my Linktree __","New York, NY",327,359248,74404,9,[],Google GOOGL CEO Sundar Pichai was asked by the WSJ if hes thinking about a second round of layoffsHe definitely didnt answer the question __ ,"{'neg': 0.0, 'neu': 0.895, 'pos': 0.105, 'compound': 0.4019}",0.4019,POSITIVE
35,48,147,@sparenoexpanse | @alagator_music | ________________ | #SVW #AFC #flyeaglesfly,NYC,2124,1130,26818,0,[], some of us survived the layoffs sucks to suck or to not suck lemme ask chatGPT real quick which one it is now,"{'neg': 0.271, 'neu': 0.621, 'pos': 0.108, 'compound': -0.6124}",-0.6124,NEGATIVE
36,49,148,,,58,15,2646,0,[],Mass Facebook Layoffs Leave Business Customers Exposed To Scams And Other Issues  Patriot Mom Digest,"{'neg': 0.344, 'neu': 0.656, 'pos': 0.0, 'compound': -0.6486}",-0.6486,NEGATIVE
37,50,149,Rekhau se maat kha raha hu,,1352,44,827,0,[], Whats your take on chatgpt impact on employment in the future Do you think it will lead to layoffs And how can one futureproof their career in such a situation,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
38,52,151,The United States of America is a Constitutional REPUBLIC. __USA__,"North Carolina, USA",3237,2659,227877,6,[],CT recession and massive layoffs all in one article on one of the largest wrb sites Thanks   ,"{'neg': 0.135, 'neu': 0.725, 'pos': 0.14, 'compound': 0.0258}",0.0258,POSITIVE
39,53,152,If Fascism ever reasserts itself on the world it'll come disguised as liberalism while hiding behind the icons of Freedom!,,385,42,8006,0,[],  Youre right Biden accomplished higher food prices higher Gas prices higher taxes record jobs layoffs drove the price fuel up in Europe pushed the Saudis to Join Russia amp Iran weaponized the legal system resegregated America weaponizing racism Trans Covid amp the climate,"{'neg': 0.082, 'neu': 0.785, 'pos': 0.133, 'compound': 0.128}",0.128,POSITIVE
40,54,153,"3x #NYTimes 2x #WSJ
#Realtor in #Florida, #Miami #Broward  
#investment and #residential
__305-741-1819
Linkedin https://t.co/jwcAAZ7hpX
Youtube below.",Miami - Hallandale,74791,97815,18293,11,[],Layoffs this year are coming in record numbers Some figures per 270400  jobs cut so far396  increase compared to this time in 2289700  jobs cut in March319  increase compared to March 2238  share of total cuts from the tech industry,"{'neg': 0.134, 'neu': 0.712, 'pos': 0.154, 'compound': 0.2398}",0.2398,POSITIVE
41,57,156,,"Ittoqqortoormiit, Greenland",361,28,12,0,[], Did they get some fries with their layoffs,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
42,58,157,Boutique Hedge Fund established in 2017. With presence in Mexico and France.,Mexico & France,209,52,58936,153,[],Not Lovin It McDonalds Slashes Pay Closes Offices Layoffs Workers  ,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.296}",-0.296,NEGATIVE
43,59,158,"Sci-fi fan on the side of Nortel LTDisabled & former employees; health, democracy & facts. Resist RepubliCons globally. Flitting back & forth - m s t d n .",Hellberta__via Twitterstan,5000,2481,519292,35,[],2 Cutbacks layoffs amp shuttering of local papers is par for the course when corporate raiders buy up media Theres no room for independence or unbiased coverage of news There is a topdown right wing bias amp precarious work for journalists Yet CEO compensation remains high ,"{'neg': 0.103, 'neu': 0.897, 'pos': 0.0, 'compound': -0.4019}",-0.4019,NEGATIVE
44,61,160,"#StartupSoda - A daily hand curated email of the best news, blog posts and tactical resources from Australian #Startups, #Founders & #VC's. #startupaus",Australia,2655,2481,39645,0,[],SmartCompany Senior tech reporter  spent two weeks in the US amp reflects on sector on the ground  from the rise of AI economic turmoil and layoffs ,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.3612}",-0.3612,NEGATIVE
45,62,161,One Stop Destination for Job Search on Twitter.,,1,2843,598059,4,"['hireme', 'layoffs', 'techjokes', 'shitposting', 'frontendDev', 'webdevelopment']",HTML is the duct tape of the internethireme layoffs techjokes shitposting frontendDev webdevelopment remotejobs hiring FrontEndDeveloper frontenddev reactjs javascript techblogs buildinpublic LearnInPublic,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
46,64,163,"__Data Science, Customer Journeys, Business Insights, __Visualization Dashboards & Reports During The Day, _____Sleuth At Night!",NYC,586,70,1043,0,"['RemoteWork', 'Layoff', 'McDonalds', 'Google', 'Pepsi', 'BusinessNews', 'EmploymentTrends', 'WorkFromHome', 'CorporateStrategy', 'FortuneMagazine', 'TowerInsights']",Something I just experienced Remote LayoffsRemoteWork Layoff McDonalds Google Pepsi BusinessNews EmploymentTrends WorkFromHome CorporateStrategy FortuneMagazineTowerInsights ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
47,65,164,,,143,16,7411,12,[], Im really glad Musk is being investigated We all deserve an explanation for his security failings and mass layoffs,"{'neg': 0.129, 'neu': 0.643, 'pos': 0.229, 'compound': 0.3597}",0.3597,POSITIVE
48,66,165,,,1769,393,74412,0,[],McDonalds cuts pay packages closes offices alongside layoffs across chain  Fox Business ,"{'neg': 0.265, 'neu': 0.735, 'pos': 0.0, 'compound': -0.3818}",-0.3818,NEGATIVE
49,67,166,"Pray for Los Angeles, California Jesus Is Lord Amen! __",Standing w VETERANS & SENIORS,450,605,103930,3,[],Amazon Google and other businesses have made headlines for cutting costs and downsizing this year One of BryanCollege Stations largest employers St Joseph Health will be doing the same ,"{'neg': 0.05, 'neu': 0.894, 'pos': 0.056, 'compound': 0.0516}",0.0516,POSITIVE
50,69,168,The internet of value is among us,"Costa Mesa, CA",2078,435,4078,1,[], As a mortgage underwriter its frightening how much our industry has come to a hault since the rise of interest ratesthat never should have been that low Massive layoffs since last spring arent even being reported on,"{'neg': 0.132, 'neu': 0.794, 'pos': 0.074, 'compound': -0.3182}",-0.3182,NEGATIVE
51,72,171,"Comprehensive Anticipatory Design Scientist, R&D Data Tech, Strategist, Futurist, Researcher, Writer, frmr Knight-Ridder&Dix journalist, veteran, dad, #DemVoice","Pittsburgh Area, Midwest, USA",7257,10528,369416,9,[],San Francisco was just turning a corner fueled by AI and ChatGPT Then an oldschool bank run threw its future into question again ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
52,77,176,"i got brothers in the jungle, cousins on a quest",,231,436,50488,0,[],this is a good article that shows that layoffs werent because execs got mad at the day in the life videos duh it was moreso that companies overhired to hoard talent,"{'neg': 0.089, 'neu': 0.752, 'pos': 0.159, 'compound': 0.3612}",0.3612,POSITIVE
53,80,179,"... it doesn�t take much to see that the problems of three little people don�t amount to a hill of beans in this crazy world. 
Rick in ""Casablanca""","Middle earth, California, USA",32,31,21109,0,[],Elon Musks Twitter Everything you need to know from layoffs to verificationAmanda Silberling Alyssa StringerApril 6 2023,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
54,81,180,"Sometimes I piss people off, but that just means I am fighting the good fight. I also retweet a lot, I'm sure it's annoying. I've always been this way.",,533,67,5077,0,[],  Or pushing people back to hybrid work I know a company that pushed hard for  return to office in order to get employees to quit because they needed to do layoffs otherwise and didnt want to Just playing with peoples lives,"{'neg': 0.065, 'neu': 0.891, 'pos': 0.045, 'compound': 0.0459}",0.0459,POSITIVE
55,82,181,Watchdog of the Taxpayer's Dollar Since 1956.,"Fairfax, VA - USA",1119,371,7430,0,[],  0 gov layoffs47000 added in last jobs report,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
56,84,183,9x Burrito Champion - crypto will change the world - stock and option trader - student of poker in the NL arena - wsop junkie while being a tech worker.,"El Paso, TX",713,92,1621,0,[], Layoffs in US tech migrated north,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
57,85,184,,"Vineland, NJ",426,77,1476,0,[],If Desantis makes good on his threat to inflict financial harm on Disney through increasing taxes or creating toll roads Disney will counter by loudly announcing Desantis Layoffs  He will be the reason for thousands of lost jobs and the death of his presidential aspirations,"{'neg': 0.229, 'neu': 0.682, 'pos': 0.089, 'compound': -0.8402}",-0.8402,NEGATIVE
58,86,185,__SIREN ALERTS ______ brought to you from Venice Beach�s siren epicenter. (Alerts will return Spring 2023.),"Venice, CA",137,281,6970,0,[], This is borderline clickbait in that you leave out that the layoffs are not of people at the counter as almost everyone seeing this headline will assume but rather people at the corporate office People losing their jobs is bad either way  but its a different story,"{'neg': 0.177, 'neu': 0.823, 'pos': 0.0, 'compound': -0.85}",-0.85,NEGATIVE
59,87,186,"Traveled the world, educated, disabled vet, concealed carry owner in the U.S. ONLY.    Not necessary in most other countries.",Lots of places.,73,47,6366,0,[], Jobs that were already there before the pandemic   How about the mass layoffs so far this year,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
60,89,188,,"California, USA",343,219,376699,1,[],GLOBAL LAYOFFS  Since October 2022 760 Companies Shed 538000 Jobs ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
61,93,191,DO NOT expect a follow back bc l need my space & ure too close already...,over here,30,291,76327,0,"['McDonalds', 'layoffs']",_ dont need bathroom breaks time off or personal days Please advise the people you know to learn electronic technicians field service etc and fast McDonalds layoffs  ,"{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.3182}",0.3182,POSITIVE
62,95,193,"The Crypto Minute _  | #Bitcoin | Never financial advice, just dad jokes | Featured in Bloomberg, The Times, Vice, Time Magazine, NY Post, ELLE, Vogue Business",,122,11483,156,28,[],Crypto people lol if everything tanks I can always just get a job at McDonaldsMcDonalds Weve temporarily shut down the US office and are preparing for massive layoffs,"{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.4215}",0.4215,POSITIVE
63,96,194,I have no idea what I�m doing,,385,107,2948,0,[],    Bro idc what you agree with in your career Ive made that much clear Companies shouldnt have to power to do layoffs for the sake of profit Period Im not giving this anymore attention,"{'neg': 0.051, 'neu': 0.749, 'pos': 0.2, 'compound': 0.7153}",0.7153,POSITIVE
64,97,195,,Hong Kong,76,941,95585,1057,[],According to  the layoffs are a restructuring to help ensure its longterm financial sustainability FollowTheMoney,"{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.6486}",0.6486,POSITIVE
65,99,197,CSN Media offers a FREE ALTERNATIVE to Paid Cable TV with Hours of Breaking News & Other Events both Worldwide & Locally plus Educational Videos & Health Tips,Cary NC ~antiquitybc@gmail.com,9,55,22296,0,[],McDonalds layoffs 2023 Hundreds of people are being laid off from McDonalds as the disgusting burger giant restructures the company Earlier this week the company announced it was temporarily closing its US offices and told its corporate staff to work remotely while we  ,"{'neg': 0.075, 'neu': 0.925, 'pos': 0.0, 'compound': -0.5267}",-0.5267,NEGATIVE
66,100,197,CSN Media offers a FREE ALTERNATIVE to Paid Cable TV with Hours of Breaking News & Other Events both Worldwide & Locally plus Educational Videos & Health Tips,Cary NC ~antiquitybc@gmail.com,9,55,22296,0,[],McDonalds layoffs 2023 Hundreds of people are being laid off from McDonalds as the burger giant restructures the company Earlier this week the company announced it was temporarily closing its US offices and told its corporate staff to work remotely while we still need you  ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
67,104,200,,,319,321,61112,0,[], Homebuyers face contingencies amid interest rate hikes and layoffs  Buyers  sellers  r  feeling  more  comfident  writing  comtingencies  into  contractsIts  allowing  both  the  buyer  and  seller  to  back  out  of  a  deal  if  certain  conditions  r  not  met,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.6808}",0.6808,POSITIVE
68,105,197,CSN Media offers a FREE ALTERNATIVE to Paid Cable TV with Hours of Breaking News & Other Events both Worldwide & Locally plus Educational Videos & Health Tips,Cary NC ~antiquitybc@gmail.com,9,55,22296,0,[],McDonalds layoffs 2023 Hundreds of people are being laid off from McDonalds as the burger giant restructures the company Earlier this week the company announced it was temporarily closing its US offices and told its corporate staff to work remotely while we still need your  ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
69,109,200,,,319,321,61112,0,[], Oil production rose 125 million barrels per day in January  the  highest  since  March  2020    Next  up  layoffs  bank  collapses  and  rising  interest  rates  has  sent  shockwaves  through  real  estate  industry  For  instance  Meta  last  month,"{'neg': 0.056, 'neu': 0.867, 'pos': 0.077, 'compound': 0.2023}",0.2023,POSITIVE
70,111,205,Driving for Lyft so you don't have to.,"Los Angeles, CA",2,2138,630719,1,['DisneyWorld'], needs to announce that its closing DisneyWorld and that layoffs will commence at the end of the monthThen DO IT,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
71,112,197,CSN Media offers a FREE ALTERNATIVE to Paid Cable TV with Hours of Breaking News & Other Events both Worldwide & Locally plus Educational Videos & Health Tips,Cary NC ~antiquitybc@gmail.com,9,55,22296,0,[],McDonalds layoffs 2023 Hundreds of people are being laid off from McDonalds as the burger giant restructures the company Earlier this week the company announced it was temporarily closing its US offices and told its corporate staff to work remotely while we still need your ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
72,114,207,"Free Software hacker, rabid dancer, electric transportation enthusiast, pedestrian | avowed smart-arse","Berlin, Germany",62,181,22826,0,[],  This is about layoffs not about social security,"{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.2584}",-0.2584,NEGATIVE
73,115,208,He/Him __ ______ Abolish ICE/CBP Abolish Police/Prisons,,4922,2035,533732,11,[],This morning I wrote to  executives to convey to them the impact these layoffs have on several of my constituents I asked them to freeze any additional layoffs and to consider cuts to executive compensation to more fairly mitigate the impact of these layoffs ,"{'neg': 0.051, 'neu': 0.922, 'pos': 0.028, 'compound': -0.25}",-0.25,NEGATIVE
74,117,210,CRM Software for Commercial Real Estate,,1135,634,11913,0,[],Inflation Data Disney Layoffs Modernas Prospects and More Market News That in commercial real estate land is a depression Its eight times the vacancy rate prepandemic and you can compare that to the New York City ,"{'neg': 0.095, 'neu': 0.848, 'pos': 0.057, 'compound': -0.3612}",-0.3612,NEGATIVE
75,118,211,"MMA Gambling shit, GOP/Trump crimes & some political shit,  some Golf & movie shit..let's not lose our democracy shit.......no bullshit tho.",Vegas BayBay!!!,140,1418,167517,0,[],dont like the ladies after long layoffs,"{'neg': 0.26, 'neu': 0.74, 'pos': 0.0, 'compound': -0.2755}",-0.2755,NEGATIVE
76,122,215,Tech L/S investor/trader. Columnist @realmoney (https://t.co/sy7QldHDj2). Occasional hiker and photographer. DMs open.,"Phoenix, AZ",1041,15286,14243,0,[], Think the overall wage growth figure is for now depressed by techfinance layoffs Wage growth is still fairly high in many sectors as is services inflationTheres a case for the Fed pausing after another 25 Problem is markets are pricing in a bunch of rate cuts,"{'neg': 0.156, 'neu': 0.744, 'pos': 0.099, 'compound': -0.4588}",-0.4588,NEGATIVE
77,124,217,,,1612,142,4716,13,[],The number of Americans seeking unemployment aid was higher over the past few months than the government had initially reported reflecting a modest rise in Layoffs as the economy has slowed in the face of higher interest rates ,"{'neg': 0.07, 'neu': 0.825, 'pos': 0.104, 'compound': 0.1027}",0.1027,POSITIVE
78,125,218,not much to be said about me.,"Texas, USA",283,68,5524,0,[],  I just read an articlepeople arent making their car payments  repo on the rise More debt on credit cards and more layoffs at big companies Am I wrong ,"{'neg': 0.186, 'neu': 0.724, 'pos': 0.09, 'compound': -0.4641}",-0.4641,NEGATIVE
79,129,222,"The voice of Australian entrepreneurship and small business. 
Tips: __ news@smartcompany.com.au.","Melbourne, Australia",18795,48867,61068,0,[],Senior tech reporter  spent two weeks in the US amp reflects on sector on the ground  from the rise of AI economic turmoil and layoffs ,"{'neg': 0.094, 'neu': 0.906, 'pos': 0.0, 'compound': -0.3612}",-0.3612,NEGATIVE
