user_id,description,location,following,followers,totaltweets,retweetcount,text,hashtags
110,"Back here since Elon. Mother, wife, realtor, cats, dancing, Messianic Jew, MAGA.","Tampa, FL",3882,1570,5762,171,"https://t.co/YwmbGs3ZR5 

Stop eating McDonalds. They tried hard to debunk this. IT IS TRUE. Notice the McDonalds layoffs? Oh much more to come. THEY ARE DEMONS.",[]
111,Freedom loving America FIRST Patriot____ who loves my country and my God.__  Female venue owner.,"Grand Rapids, MI",1346,611,6807,171,"https://t.co/YwmbGs3ZR5 

Stop eating McDonalds. They tried hard to debunk this. IT IS TRUE. Notice the McDonalds layoffs? Oh much more to come. THEY ARE DEMONS.",[]
112,"freedom loving wife, mother and grandmother.",,548,853,73609,0,@GeeDcee @DefiyantlyFree Disney is in the toilet.  That’s why they aren’t fixing things and the parks look like shit.  They are having mass layoffs.,[]
113,Blogger. Freelancer. Work from home.,,411,113,9651,0,Wall Street Journal: McDonald’s closes offices and tells employees to work from home ahead of layoffs    https://t.co/KT0zvU4tZJ https://t.co/zXIGn4USE3,[]
114,"Leslieville, T.O. ____","Leslieville, Toronto, Canada",2074,663,16856,0,"@nytimes Geeez. Any way you look at it, layoffs suck.",[]
115,MAGA Patriot,,5002,3064,62201,2,"@WhiteHouse Interest rates are high, inflation is high, unemployment increased last month, banks are failing, layoffs are looming. Not the booming economy that your propaganda suggests. https://t.co/b5A9RRk5EN",[]
116,"“Today on this January day, my whole soul is in this. Bringing America together. Uniting our people. Uniting our nation.” President Biden 1/20/21",Wilmington NC,14445,13146,150749,59,"POTUS on a roll!
Jobless rate hits lowest ever!
Only 3.5% unemployed
#BidenBoom works for US. He cares about people
GOP has no plan for economy 
They don’t care 
All they care about is chaos &amp; POWER 
#LockThemUp
#ProudBlue #DemVoice1 #Fresh
https://t.co/aVzzgVXr0E https://t.co/YQusHmXi0e",['BidenBoom']
117,_ joint account _,,768,128,2079,3,All of which brings up another point: people still eat at McDonalds? https://t.co/DEQjAE4Jt4,[]
118,,,78,13,285,0,@kenruss12 @ABC7 It’s corporate layoffs you boomer. __,[]
119,__ Mexican Wine Lover | ___ F1 Fan | __ Private Equity & Private Lending Investor | Managing Partner at Iktea Capital & Fomentamos®,"León, Guanajuato",758,351,3113,16,"TECH LAYOFF TRACKER

Tech layoffs are up 250% versus 2022.

Pace of layoffs per day:

_2023 YTD: 2,312 people
_2022: 661 people

Source: https://t.co/tQ5zuDjCVu",[]
120,"Very conservative, happily married,retired,I love God, family,my country. I love my friends and nature.Trump supporter I Ihttps://t.co/no romance no porn.",Tennessee,335,421,20989,1,Facebook Layoffs Leave Business Customers Without Support https://t.co/nPSen07aLR,[]
121,Helping Build the future. https://t.co/Y9FOUygFfH -  https://t.co/J8TEcuI25U (collectables with event based governance experiment),Juiceboxland,681,498,3080,27,"Voxels is 5 years old ____

But something sad is happening __

In 3 weeks there’s another round of layoffs

The company will be only Ben and 1 server-stay-up person

I will become unemployed __

__ Support me at https://t.co/IDEXiRwzag or adopt a FELT.cute https://t.co/ZDhZMdWuca https://t.co/kqmOzE55Cn",[]
122,"I discovered I can add a bat to my profile name

Profile picture made with: https://t.co/4cqJxfULEh",Lake Ocean,198,86,53078,115,"Lawmakers have asked the U.S. Department of Justice to review the ‘Warner Bros. Discovery’ merger, alleging the deal is responsible for hollowing out an iconic American studio after it caused layoffs and harmed workers in the process.

Source: @latimes https://t.co/5t5QwmCC0H",[]
123,,,240,103,68,0,"Apple Is Reportedly Beginning a Small Round of Layoffs  https://t.co/pLXYz4Ukjk Tue, 04 Apr 2023 14:31:00 GMT",[]
124,"Retired RN,MSN,dogs, knitter, gardener, #Democrat,#BLM, #Resist.__DM. #ProudBlue #ProudBlueVets, #BluePride       Administrator",New England,33133,40061,93074,59,"POTUS on a roll!
Jobless rate hits lowest ever!
Only 3.5% unemployed
#BidenBoom works for US. He cares about people
GOP has no plan for economy 
They don’t care 
All they care about is chaos &amp; POWER 
#LockThemUp
#ProudBlue #DemVoice1 #Fresh
https://t.co/aVzzgVXr0E https://t.co/YQusHmXi0e",['BidenBoom']
125,"There's always a better way!
AI Enthusiast",,422,268,2061,0,"@PeterDiamandis depends on how things develop. If there were mass layoffs and we are still stuck in a capitalist society with basic needs still at very high prices then UBI is you only way to at least avoid chaos, looting, suicides etc.",[]
126,"Truth Seeker
Lambs of GOD who take away the Sins of the World
Trump Loyalists 
First Fruit
144,000 GODS Army","The Woodlands, TX",2192,657,2772,171,"https://t.co/YwmbGs3ZR5 

Stop eating McDonalds. They tried hard to debunk this. IT IS TRUE. Notice the McDonalds layoffs? Oh much more to come. THEY ARE DEMONS.",[]
127,Changing the world for the better one tweet at a time.,,1030,557,52189,171,"https://t.co/YwmbGs3ZR5 

Stop eating McDonalds. They tried hard to debunk this. IT IS TRUE. Notice the McDonalds layoffs? Oh much more to come. THEY ARE DEMONS.",[]
128,Nobody's special....,,387,235,3861,0,"@JoeBiden Interesting...not according to what I just watched. Layoffs are happening from amazon to Fed Ex, hundreds of thousands of them.",[]
129,"Finance and accounting professional in West TX. MBA Finance, MS Accounting.____","Texas, USA",1453,2103,69874,0,"""Not Lovin' It"": McDonald's Slashes Pay Closes Offices, Layoffs Workers https://t.co/nUeGVHKBIB",[]
130,"Trillion Dollar Man®, Financial Magician/Midas Touch, High-Performance Business Success Coach, QLA Founder and ""Greatest Of All Time"" in the creation of wealth","Guthrie Castle, Scotland, UK",1411,50420,598819,0,BUSINESS INSIDER: Facebook is conducting 'quiet layoffs' by urging managers to label a certain number of workers as underperforming. The moves may lead to thousands of job cuts.(DSP: AS PREDICTED BY THE TRILLION DOLLAR MAN!),[]
131,"Global Capital Markets, Geopolitics + Philanthropy.
NOT Investment Advice",,596,13879,15832,1,"Through March 31st over 158,000 tech workers have been laid off.

Over decade+ &amp; especially the last 5 years. tech industry went on historic hiring binge. 

We haven’t yet seen mass lay-offs from money losing  SaaS cos &amp; rounds 2 &amp; 3 from the gorillas  https://t.co/l8JnJGFnkU",[]
132,Turn your followers into customers on auto-pilot @extrovertai. Member: @cpgclub @skyclubhq,Miami,1081,469,10714,0,@ArturoVandelayI It's disheartening to see such a high number of layoffs in the tech industry __. But let's remain hopeful &amp; work towards new opportunities for those affected. Progress is unstoppable! ____ #TechResilience,['TechResilience']
133,"love freedom, think for myself, America 1st is for everyone! independent leaning to MAGA.",,1041,1136,27403,171,"https://t.co/YwmbGs3ZR5 

Stop eating McDonalds. They tried hard to debunk this. IT IS TRUE. Notice the McDonalds layoffs? Oh much more to come. THEY ARE DEMONS.",[]
134,Portfolio Manager w/25+ years experience. Run separately managed portfolios. Macro/TA driven. Do your own due diligence,Oceania,293,989,6933,1,"Through March 31st over 158,000 tech workers have been laid off.

Over decade+ &amp; especially the last 5 years. tech industry went on historic hiring binge. 

We haven’t yet seen mass lay-offs from money losing  SaaS cos &amp; rounds 2 &amp; 3 from the gorillas  https://t.co/l8JnJGFnkU",[]
135,100% Focused and Aware. LIMITLESS,Worldwide,111,2181,11417,0,@corgimom68 @SlaterJonathan4 @mmpadellan Good luck to your kids...if they are working...they will soon be unemployed as massive layoffs are about to hit the country and 50-60% of workers will be laid off. But then again...your kids probably love free shit...so they will love the unemployment money.,[]
136,"Parody Acct! Not here to win a fucking high school popularity contest! 
FUCKING ULTRA CONSERVATIVE KICKASS EVERYDAY REALIST!!
#FUCKER",None of your fucking business,4467,4304,26133,1,"Is the stock market the Feds’ Ace up its sleeve?? Thoughts??

(Growth itself is not inflationary)

They let markets rip &gt; boosts consumer confidence &gt; boosts economy as wages catch up &amp; disinflation &gt; drop rates &gt; minimal layoffs &gt; soft landing magic?",[]
137,"Purge Survivor still Shadowban.

Do not follow if easily offended.
LiKeS are Acknowledgement.
Misspell on purpose.

MDD temp to Matrix",,1128,807,30515,0,"@submx8ch Agree however the numbers, in time, will be huge. we are switching brands after 20+ years. Still looks like theater to initiate layoffs. Hope I’m wrong.",[]
138,"she, her, hers
photographer
Jewelry Designer
All-around creative soul
real name is Sarah","Bronx, NY",5747,5732,23503,0,"@Bill__Price @thejackhopkins Layoffs supposedly happen for ""reorganization"" however, reorganization happens before the actual layoffs. When you witness folks moving from one group to another, that is your queue that reorganization is going on before a public announcement.",[]
139,lol,,10,13,1246,0,@unusual_whales How common will this be? Does layoffs and AI scare off future home buyers over job security? Does this crush home values now?,[]
140,,,2237,827,20526,59,"POTUS on a roll!
Jobless rate hits lowest ever!
Only 3.5% unemployed
#BidenBoom works for US. He cares about people
GOP has no plan for economy 
They don’t care 
All they care about is chaos &amp; POWER 
#LockThemUp
#ProudBlue #DemVoice1 #Fresh
https://t.co/aVzzgVXr0E https://t.co/YQusHmXi0e",['BidenBoom']
141,"Time to wake the Lions! Go time! #MAGA #Savethechildren
#AMC #AMCSqueeze",Somewhere Texas,1886,937,24465,171,"https://t.co/YwmbGs3ZR5 

Stop eating McDonalds. They tried hard to debunk this. IT IS TRUE. Notice the McDonalds layoffs? Oh much more to come. THEY ARE DEMONS.",[]
142,"An independent thinker, LOVE FOR COUNTRY over politics.",,248,86,3018,11,"Hundreds of thousands of layoffs in recent months and @TBBforTalent demands importation of more foreign ""skilled"" workers. This isn't about what America needs, it's about abusing the refugee system to circumvent ceilings on employment visas. 
https://t.co/zvot3464B9",[]
143,1 CROSS + 3 NAILS = 4 GIVEN ____,"Chicago, IL",499,333,13063,171,"https://t.co/YwmbGs3ZR5 

Stop eating McDonalds. They tried hard to debunk this. IT IS TRUE. Notice the McDonalds layoffs? Oh much more to come. THEY ARE DEMONS.",[]
144,Houston's News and Severe Weather Leader,"Houston, TX",3382,897059,468375,0,"""There are more people that have been moved into new roles or promoted than have been laid off,"" the source said Friday.  https://t.co/jYsdHMbBiL",[]
145,"Reporting on stock news, earnings and more. Not Just stock news! Not Investment advice / DM for business / Check out my Linktree __","New York, NY",327,359248,74404,9,"Google $GOOGL CEO Sundar Pichai was asked by the WSJ if he's thinking about a second round of layoffs

He definitely didn't answer the question __ https://t.co/aPSeMxCWiy",[]
146,Born-Again Spirit Filled& Led Revivalist/ Believer in Christ. Revivals Are for the Church! Awakenings Are for a City or State! Outpourings Are For the Nations!,,525,236,5239,171,"https://t.co/YwmbGs3ZR5 

Stop eating McDonalds. They tried hard to debunk this. IT IS TRUE. Notice the McDonalds layoffs? Oh much more to come. THEY ARE DEMONS.",[]
147,@sparenoexpanse | @alagator_music | ________________ | #SVW #AFC #flyeaglesfly,NYC,2124,1130,26818,0,@jewbyboobie some of us survived the layoffs. sucks to suck? or to not suck? lemme ask chatGPT real quick which one it is now,[]
148,,,58,15,2646,0,Mass Facebook Layoffs Leave Business Customers Exposed To Scams And Other Issues - Patriot Mom Digest,[]
149,Rekhau se maat kha raha hu,,1352,44,827,0,@Huk06 What's your take on chatgpt impact on employment in the future? Do you think it will lead to layoffs? And how can one future-proof their career in such a situation?,[]
150,,"Morton, IL",516,236,1275,171,"https://t.co/YwmbGs3ZR5 

Stop eating McDonalds. They tried hard to debunk this. IT IS TRUE. Notice the McDonalds layoffs? Oh much more to come. THEY ARE DEMONS.",[]
151,The United States of America is a Constitutional REPUBLIC. __USA__,"North Carolina, USA",3237,2659,227877,6,"CT, recession, and massive layoffs all in one article on one of the largest wrb sites. 
Thanks @ctdems 

https://t.co/TIc5cjUebw https://t.co/QjtD5y84Wa",[]
152,If Fascism ever reasserts itself on the world it'll come disguised as liberalism while hiding behind the icons of Freedom!,,385,42,8006,0,"@LiberalGenXVet @GuntherEagleman You're right Biden accomplished higher food prices, higher Gas prices, higher taxes, record jobs layoffs, drove the price fuel up in Europe, pushed the Saudis to Join Russia &amp; Iran, weaponized the legal system, resegregated America, weaponizing racism, Trans, Covid &amp; the climate.",[]
153,"3x #NYTimes 2x #WSJ
#Realtor in #Florida, #Miami #Broward  
#investment and #residential
__305-741-1819
Linkedin https://t.co/jwcAAZ7hpX
Youtube below.",Miami - Hallandale,74791,97815,18293,11,"Layoffs this year are coming in record numbers. 

Some figures, per @Forbes:

270,400 - jobs cut so far
396% - increase compared to this time in '22

89,700 - jobs cut in March
319% - increase compared to March '22

38% - share of total cuts from the tech industry",[]
154,"Wife…Mimi..dog __ mom.   Your smile is your logo, your personality is your business card, and the way you make others feel is your trademark.",,1163,1152,8183,171,"https://t.co/YwmbGs3ZR5 

Stop eating McDonalds. They tried hard to debunk this. IT IS TRUE. Notice the McDonalds layoffs? Oh much more to come. THEY ARE DEMONS.",[]
155,,,2241,439,2912,171,"https://t.co/YwmbGs3ZR5 

Stop eating McDonalds. They tried hard to debunk this. IT IS TRUE. Notice the McDonalds layoffs? Oh much more to come. THEY ARE DEMONS.",[]
156,,"Ittoqqortoormiit, Greenland",361,28,12,0,@nytimes Did they get some fries with their layoffs?,[]
157,Boutique Hedge Fund established in 2017. With presence in Mexico and France.,Mexico & France,209,52,58936,153,"""Not Lovin' It"": McDonald's Slashes Pay Closes Offices, Layoffs Workers  https://t.co/1HuniCNDHF",[]
158,"Sci-fi fan on the side of Nortel LTDisabled & former employees; health, democracy & facts. Resist RepubliCons globally. Flitting back & forth - m s t d n .",Hellberta__via Twitterstan,5000,2481,519292,35,"2. Cutbacks, layoffs &amp; shuttering of local papers is par for the course when corporate raiders buy up media. There’s no room for independence or unbiased coverage of news. There is a top-down right wing bias &amp; precarious work for journalists. Yet CEO compensation remains high. https://t.co/42U8ElAsyU",[]
159,Here for them crypto & stonks parabolic gainz with the brahs! ____,"Los Angeles, CA",159,284,22180,153,"""Not Lovin' It"": McDonald's Slashes Pay Closes Offices, Layoffs Workers  https://t.co/1HuniCNDHF",[]
160,"#StartupSoda - A daily hand curated email of the best news, blog posts and tactical resources from Australian #Startups, #Founders & #VC's. #startupaus",Australia,2655,2481,39645,0,"SmartCompany: Senior tech reporter @Tegan_Writes spent two weeks in the US &amp; reflects on sector on the ground — from the rise of AI, economic turmoil and layoffs. 
https://t.co/vNCaWR5fu2",[]
161,One Stop Destination for Job Search on Twitter.,,1,2843,598059,4,"HTML is the duct tape of the internet.

#hireme #layoffs #techjokes #shitposting #frontendDev #webdevelopment #remotejobs #hiring 
#FrontEndDeveloper #frontenddev #reactjs #javascript #techblogs #buildinpublic #LearnInPublic","['hireme', 'layoffs', 'techjokes', 'shitposting', 'frontendDev', 'webdevelopment']"
162,"Texan, Born again, that is the most important thing ever!!!!!!!!!!!!!!!!
Love to sing, especially to God, listen--https://t.co/OsDkhPzLu3",Chocolate bayou,127,347,37022,171,"https://t.co/YwmbGs3ZR5 

Stop eating McDonalds. They tried hard to debunk this. IT IS TRUE. Notice the McDonalds layoffs? Oh much more to come. THEY ARE DEMONS.",[]
163,"__Data Science, Customer Journeys, Business Insights, __Visualization Dashboards & Reports During The Day, _____Sleuth At Night!",NYC,586,70,1043,0,"Something I just experienced. Remote Layoffs.
https://t.co/YvLalNO3q1
#RemoteWork #Layoff #McDonalds #Google #Pepsi #BusinessNews #EmploymentTrends #WorkFromHome #CorporateStrategy #FortuneMagazine
#TowerInsights https://t.co/c11NCETEpH","['RemoteWork', 'Layoff', 'McDonalds', 'Google', 'Pepsi', 'BusinessNews', 'EmploymentTrends', 'WorkFromHome', 'CorporateStrategy', 'FortuneMagazine', 'TowerInsights']"
164,,,143,16,7411,12,@OmarRiverosays I'm really glad Musk is being investigated. We all deserve an explanation for his security failings and mass layoffs,[]
165,,,1769,393,74412,0,"McDonald’s cuts pay packages, closes offices alongside layoffs across chain | Fox Business https://t.co/vvWfo762Dq",[]
166,"Pray for Los Angeles, California Jesus Is Lord Amen! __",Standing w VETERANS & SENIORS,450,605,103930,3,"Amazon, Google, and other businesses have made headlines for cutting costs and downsizing this year. One of Bryan-College Station’s largest employers, St. Joseph Health, will be doing the same. https://t.co/X2RWpnsr7F",[]
167,,"Vancouver, British Columbia",183,482,15411,171,"https://t.co/YwmbGs3ZR5 

Stop eating McDonalds. They tried hard to debunk this. IT IS TRUE. Notice the McDonalds layoffs? Oh much more to come. THEY ARE DEMONS.",[]
168,The internet of value is among us,"Costa Mesa, CA",2078,435,4078,1,@leadlagreport As a mortgage underwriter it's frightening how much our industry has come to a hault since the rise of interest rates(that never should have been that low). Massive layoffs since last spring aren't even being reported on.,[]
169,"Hi my name is Sunny. I am an assistant basketball coach and statician for Lakeview Leadership Academy in Victorville, CA. I am also part of adults work program",,1931,246,42966,7,"McDonald's to lay off hundreds as burger giant restructures company, source says https://t.co/KYGEUtiY3b",[]
170,"__selfship__ multifandom dolls media art fashion writer and artist Black/24 
tumblr @/gritsandbrits @/actiontoongorlz
YT channel Lizzie Monk",the ghostzone,765,321,65355,115,"Lawmakers have asked the U.S. Department of Justice to review the ‘Warner Bros. Discovery’ merger, alleging the deal is responsible for hollowing out an iconic American studio after it caused layoffs and harmed workers in the process.

Source: @latimes https://t.co/5t5QwmCC0H",[]
171,"Comprehensive Anticipatory Design Scientist, R&D Data Tech, Strategist, Futurist, Researcher, Writer, frmr Knight-Ridder&Dix journalist, veteran, dad, #DemVoice","Pittsburgh Area, Midwest, USA",7257,10528,369416,9,"San Francisco was just turning a corner, fueled by AI and ChatGPT. Then an old-school bank run threw its future into question again https://t.co/nWtdD6mQUz",[]
172,"All glory be to God.  Love for humanity, animals and all sentient beings, truth, justice, harmony, peace. Critical Researcher and Digital 
Soldier since 2020.",With you in spirit,183,306,11433,171,"https://t.co/YwmbGs3ZR5 

Stop eating McDonalds. They tried hard to debunk this. IT IS TRUE. Notice the McDonalds layoffs? Oh much more to come. THEY ARE DEMONS.",[]
173,,,303,21,881,171,"https://t.co/YwmbGs3ZR5 

Stop eating McDonalds. They tried hard to debunk this. IT IS TRUE. Notice the McDonalds layoffs? Oh much more to come. THEY ARE DEMONS.",[]
174,I don't live in California anymore!,,1903,2374,315414,3,"Amazon, Google, and other businesses have made headlines for cutting costs and downsizing this year. One of Bryan-College Station’s largest employers, St. Joseph Health, will be doing the same. https://t.co/X2RWpnsr7F",[]
175,USA____ GOD __,,1268,575,35501,171,"https://t.co/YwmbGs3ZR5 

Stop eating McDonalds. They tried hard to debunk this. IT IS TRUE. Notice the McDonalds layoffs? Oh much more to come. THEY ARE DEMONS.",[]
176,"i got brothers in the jungle, cousins on a quest",,231,436,50488,0,"this is a good article that shows that layoffs weren't because execs got mad at the ""day in the life"" videos (duh), it was moreso that companies overhired to hoard talent
https://t.co/eMX4cb6gbk?",[]
177,"Happily Married | Mama of 4 | Boerboel Mom _____ | Tennis Mom  __  | Adventure ____________

Reformed Conservative| God, Country, and Family

__NO DM'S NO PORN",Ohio,806,457,1434,1,@leadlagreport As a mortgage underwriter it's frightening how much our industry has come to a hault since the rise of interest rates(that never should have been that low). Massive layoffs since last spring aren't even being reported on.,[]
178,"News10: On Your Side. Bringing you weather, breaking news and headlines for Central Texas. Posted LIVE by News10 Staff (not just a feed).","Waco, Temple, Killeen, TX",234,112137,80700,3,"Amazon, Google, and other businesses have made headlines for cutting costs and downsizing this year. One of Bryan-College Station’s largest employers, St. Joseph Health, will be doing the same. https://t.co/X2RWpnsr7F",[]
179,"... it doesn’t take much to see that the problems of three little people don’t amount to a hill of beans in this crazy world. 
Rick in ""Casablanca""","Middle earth, California, USA",32,31,21109,0,"Elon Musk’s Twitter: Everything you need to know, from layoffs to verification
Amanda Silberling, Alyssa Stringer
•April 6, 2023

https://t.co/4Kko5kQerd",[]
180,"Sometimes I piss people off, but that just means I am fighting the good fight. I also retweet a lot, I'm sure it's annoying. I've always been this way.",,533,67,5077,0,"@BlackResonanc3 @alitlstrawberry Or pushing people back to hybrid work. I know a company that pushed hard for "" return to office"", in order to get employees to quit because they needed to do layoffs otherwise and didn't want to. Just playing with people's lives.",[]
181,Watchdog of the Taxpayer's Dollar Since 1956.,"Fairfax, VA - USA",1119,371,7430,0,"@sniffydogs @nypost 0 gov layoffs
47,000 added in last jobs report",[]
182,Housewife and Mother of three grown children and one dog and Granny of 5:)__ 100 %Trump supporter:)____,,1462,1199,3841,171,"https://t.co/YwmbGs3ZR5 

Stop eating McDonalds. They tried hard to debunk this. IT IS TRUE. Notice the McDonalds layoffs? Oh much more to come. THEY ARE DEMONS.",[]
183,9x Burrito Champion - crypto will change the world - stock and option trader - student of poker in the NL arena - wsop junkie while being a tech worker.,"El Paso, TX",713,92,1621,0,@gurgavin Layoffs in US tech migrated north.,[]
184,,"Vineland, NJ",426,77,1476,0,"If Desantis makes good on his threat to inflict financial harm on Disney through increasing taxes or creating toll roads, Disney will counter by loudly announcing ""Desantis Layoffs"".  He will be the reason for thousands of lost jobs and the death of his presidential aspirations!",[]
185,__SIREN ALERTS ______ brought to you from Venice Beach’s siren epicenter. (Alerts will return Spring 2023.),"Venice, CA",137,281,6970,0,"@ABC7 This is borderline clickbait in that you leave out that the layoffs are not of people at the counter, as almost everyone seeing this headline will assume, but rather people at the corporate office. People losing their jobs is bad either way,  but it’s a different story.",[]
186,"Traveled the world, educated, disabled vet, concealed carry owner in the U.S. ONLY.    Not necessary in most other countries.",Lots of places.,73,47,6366,0,@TheDemocrats Jobs that were already there before the pandemic.   How about the mass layoffs so far this year?,[]
187,cats and history. WILL NOT REPLY TO DMs.,United States,1311,463,5133,171,"https://t.co/YwmbGs3ZR5 

Stop eating McDonalds. They tried hard to debunk this. IT IS TRUE. Notice the McDonalds layoffs? Oh much more to come. THEY ARE DEMONS.",[]
188,,"California, USA",343,219,376699,1,"GLOBAL LAYOFFS:  Since October 2022 760 Companies Shed 538,000 Jobs. https://t.co/LviiuOsvGP",[]
188,,"California, USA",343,219,376699,1,"GLOBAL LAYOFFS:  Since October 2022 760 Companies Shed 538,000 Jobs. https://t.co/LviiuOsvGP",[]
189,,,234,62,59276,153,"""Not Lovin' It"": McDonald's Slashes Pay Closes Offices, Layoffs Workers  https://t.co/1HuniCNDHF",[]
190,Just a banana boy looking for good stocks and options to trade.,,119,58,435,153,"""Not Lovin' It"": McDonald's Slashes Pay Closes Offices, Layoffs Workers  https://t.co/1HuniCNDHF",[]
191,DO NOT expect a follow back bc l need my space & ure too close already...,over here,30,291,76327,0,"__Machines don’t need bathroom breaks, time off, or personal days. Please advise the people you know to learn electronic technicians, field service, etc and fast. #McDonalds #layoffs https://t.co/Ltujmm7ydx https://t.co/UkFOPPtGyY","['McDonalds', 'layoffs']"
192,,,633,106,4141,171,"https://t.co/YwmbGs3ZR5 

Stop eating McDonalds. They tried hard to debunk this. IT IS TRUE. Notice the McDonalds layoffs? Oh much more to come. THEY ARE DEMONS.",[]
193,"The Crypto Minute _  | #Bitcoin | Never financial advice, just dad jokes | Featured in Bloomberg, The Times, Vice, Time Magazine, NY Post, ELLE, Vogue Business",,122,11483,156,28,"Crypto people: “lol if everything tanks, I can always just get a job at McDonald’s”

McDonald’s: “We’ve temporarily shut down the US office and are preparing for massive layoffs”",[]
194,I have no idea what I’m doing,,385,107,2948,0,@irish_dude7 @Jordan8Van @TjulfarLP @sarthakgh Bro idc what you agree with in your career. I’ve made that much clear. Companies shouldn’t have to power to do layoffs for the sake of profit. Period. I’m not giving this anymore attention,[]
195,,Hong Kong,76,941,95585,1057,"According to @actblue the layoffs are a “restructuring” to help ensure its “long-term financial sustainability. 

#FollowTheMoney
https://t.co/qyaXLE3Ysw",[]
196,____________________________________________,,885,192,3803,171,"https://t.co/YwmbGs3ZR5 

Stop eating McDonalds. They tried hard to debunk this. IT IS TRUE. Notice the McDonalds layoffs? Oh much more to come. THEY ARE DEMONS.",[]
197,CSN Media offers a FREE ALTERNATIVE to Paid Cable TV with Hours of Breaking News & Other Events both Worldwide & Locally plus Educational Videos & Health Tips,Cary NC ~antiquitybc@gmail.com,9,55,22296,0,"McDonald's layoffs 2023: Hundreds of people are being laid off from McDonald's as the disgusting burger giant restructures the company. Earlier this week, the company announced it was temporarily closing its U.S. offices and told its corporate staff to work remotely while we… https://t.co/tEDvFxpSnU https://t.co/m388TXV9AZ",[]
197,CSN Media offers a FREE ALTERNATIVE to Paid Cable TV with Hours of Breaking News & Other Events both Worldwide & Locally plus Educational Videos & Health Tips,Cary NC ~antiquitybc@gmail.com,9,55,22296,0,"McDonald's layoffs 2023: Hundreds of people are being laid off from McDonald's as the burger giant restructures the company. Earlier this week, the company announced it was temporarily closing its U.S. offices and told its corporate staff to work remotely while we still need you.… https://t.co/KN6xbOwIzY https://t.co/d8yyGnXTR1",[]
198,artist,,294,146,2110,171,"https://t.co/YwmbGs3ZR5 

Stop eating McDonalds. They tried hard to debunk this. IT IS TRUE. Notice the McDonalds layoffs? Oh much more to come. THEY ARE DEMONS.",[]
199,,,1374,468,15237,171,"https://t.co/YwmbGs3ZR5 

Stop eating McDonalds. They tried hard to debunk this. IT IS TRUE. Notice the McDonalds layoffs? Oh much more to come. THEY ARE DEMONS.",[]
197,CSN Media offers a FREE ALTERNATIVE to Paid Cable TV with Hours of Breaking News & Other Events both Worldwide & Locally plus Educational Videos & Health Tips,Cary NC ~antiquitybc@gmail.com,9,55,22296,0,"McDonald's layoffs 2023: Hundreds of people are being laid off from McDonald's as the burger giant restructures the company. Earlier this week, the company announced it was temporarily closing its U.S. offices and told its corporate staff to work remotely while we still need you.… https://t.co/9ZRkIxSRX9 https://t.co/p7lBR5qO22",[]
